id,time_baca,time_blatchington,time_cardinal_n,time_ds,time_hove_park,time_kings,time_longhill,time_paca,time_patcham,time_varndean,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,geometry,long,lat
BN1 1DS,35,45,27,34,35,51,44,42,37,30,cardinal_n,varndean,ds,27,30,34,51,27,38,"c(-0.140118, 50.822509)",-0.140118,50.822509
BN1 1DT,34,49,31,33,39,56,45,47,36,29,varndean,cardinal_n,ds,29,31,33,56,29,39.9,"c(-0.138771, 50.820689)",-0.138771,50.820689
BN1 1DU,36,43,28,35,34,50,46,41,39,31,cardinal_n,varndean,hove_park,28,31,34,50,28,38.3,"c(-0.140564, 50.822741)",-0.140564,50.822741
BN1 1DW,35,45,28,34,36,51,44,42,37,30,cardinal_n,varndean,ds,28,30,34,51,28,38.2,"c(-0.139644, 50.822655)",-0.139644,50.822655
BN1 1DX,32,48,29,31,38,54,42,45,32,29,cardinal_n,varndean,ds,29,29,31,54,29,38,"c(-0.137758, 50.821518)",-0.137758,50.821518
BN1 1DY,34,49,31,33,39,56,45,47,36,29,varndean,cardinal_n,ds,29,31,33,56,29,39.9,"c(-0.138771, 50.820689)",-0.138771,50.820689
BN1 1DZ,34,48,30,33,38,55,43,44,36,29,varndean,cardinal_n,ds,29,30,33,55,29,39,"c(-0.138514, 50.82144)",-0.138514,50.82144
BN1 1EA,35,47,29,34,37,53,44,42,37,30,cardinal_n,varndean,ds,29,30,34,53,29,38.8,"c(-0.13946, 50.822634)",-0.13946,50.822634
BN1 1EB,35,45,29,34,36,51,44,42,37,30,cardinal_n,varndean,ds,29,30,34,51,29,38.3,"c(-0.140064, 50.822449)",-0.140064,50.822449
BN1 1ED,35,47,29,34,37,53,44,42,37,30,cardinal_n,varndean,ds,29,30,34,53,29,38.8,"c(-0.139272, 50.822721)",-0.139272,50.822721
BN1 1EE,33,48,29,32,38,54,41,44,35,29,cardinal_n,varndean,ds,29,29,32,54,29,38.3,"c(-0.138236, 50.821994)",-0.138236,50.821994
BN1 1EF,32,48,29,31,38,54,43,45,32,29,cardinal_n,varndean,ds,29,29,31,54,29,38.1,"c(-0.137796, 50.821654)",-0.137796,50.821654
BN1 1EG,33,48,29,32,38,54,43,45,34,29,cardinal_n,varndean,ds,29,29,32,54,29,38.5,"c(-0.138162, 50.821363)",-0.138162,50.821363
BN1 1EH,32,48,29,31,38,54,43,45,32,29,cardinal_n,varndean,ds,29,29,31,54,29,38.1,"c(-0.137542, 50.821617)",-0.137542,50.821617
BN1 1EJ,34,51,32,33,40,58,44,47,36,29,varndean,cardinal_n,ds,29,32,33,58,29,40.4,"c(-0.136211, 50.821515)",-0.136211,50.821515
BN1 1EL,34,51,31,33,40,58,41,47,36,29,varndean,cardinal_n,ds,29,31,33,58,29,40,"c(-0.136337, 50.820501)",-0.136337,50.820501
BN1 1EN,33,49,31,33,39,56,40,46,35,29,varndean,cardinal_n,baca,29,31,33,56,29,39.1,"c(-0.13643, 50.820993)",-0.13643,50.820993
BN1 1EP,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140835, 50.822695)",-0.140835,50.822695
BN1 1EQ,34,49,31,33,39,56,45,47,36,29,varndean,cardinal_n,ds,29,31,33,56,29,39.9,"c(-0.138771, 50.820689)",-0.138771,50.820689
BN1 1ER,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1ES,33,47,29,32,37,53,40,43,35,29,cardinal_n,varndean,ds,29,29,32,53,29,37.8,"c(-0.138327, 50.82186)",-0.138327,50.82186
BN1 1ET,35,45,27,34,35,51,44,42,37,30,cardinal_n,varndean,ds,27,30,34,51,27,38,"c(-0.140118, 50.822509)",-0.140118,50.822509
BN1 1EU,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1EW,36,43,28,35,34,50,46,41,39,31,cardinal_n,varndean,hove_park,28,31,34,50,28,38.3,"c(-0.140564, 50.822741)",-0.140564,50.822741
BN1 1EX,34,51,32,33,40,58,43,47,36,29,varndean,cardinal_n,ds,29,32,33,58,29,40.3,"c(-0.136331, 50.821343)",-0.136331,50.821343
BN1 1EY,37,47,29,36,37,53,47,43,40,32,cardinal_n,varndean,ds,29,32,36,53,29,40.1,"c(-0.139719, 50.823636)",-0.139719,50.823636
BN1 1EZ,35,43,27,34,34,50,44,41,37,30,cardinal_n,varndean,ds,27,30,34,50,27,37.5,"c(-0.140034, 50.822853)",-0.140034,50.822853
BN1 1FA,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1FB,36,43,28,35,34,50,46,41,39,31,cardinal_n,varndean,hove_park,28,31,34,50,28,38.3,"c(-0.140464, 50.82274)",-0.140464,50.82274
BN1 1FD,37,47,29,36,37,53,47,42,41,31,cardinal_n,varndean,ds,29,31,36,53,29,40,"c(-0.141537, 50.822532)",-0.141537,50.822532
BN1 1FE,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1FF,35,45,27,34,35,51,44,42,37,30,cardinal_n,varndean,ds,27,30,34,51,27,38,"c(-0.140118, 50.822509)",-0.140118,50.822509
BN1 1FG,36,43,28,35,34,50,46,41,39,31,cardinal_n,varndean,hove_park,28,31,34,50,28,38.3,"c(-0.140564, 50.822741)",-0.140564,50.822741
BN1 1FH,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140647, 50.822778)",-0.140647,50.822778
BN1 1FJ,34,51,32,33,40,58,44,47,36,29,varndean,cardinal_n,ds,29,32,33,58,29,40.4,"c(-0.136194, 50.821574)",-0.136194,50.821574
BN1 1FL,34,51,31,33,40,58,41,47,36,29,varndean,cardinal_n,ds,29,31,33,58,29,40,"c(-0.13639, 50.820219)",-0.13639,50.820219
BN1 1FN,35,48,30,34,38,55,43,44,37,30,cardinal_n,varndean,ds,30,30,34,55,30,39.4,"c(-0.137697, 50.822357)",-0.13769700000000001,50.822357
BN1 1FP,36,55,32,36,44,60,43,49,38,30,varndean,cardinal_n,baca,30,32,36,60,30,42.3,"c(-0.137236, 50.819298)",-0.137236,50.819298
BN1 1FQ,37,47,29,36,37,53,47,42,41,31,cardinal_n,varndean,ds,29,31,36,53,29,40,"c(-0.141537, 50.822532)",-0.141537,50.822532
BN1 1FR,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1FS,37,51,33,36,40,58,46,47,41,31,varndean,cardinal_n,ds,31,33,36,58,31,42,"c(-0.139994, 50.820268)",-0.139994,50.820268
