pcds,oa21,pcd,pcd2,lsoa21,msoa21,oseast1m,osnrth1m,household_count,person_count,pcd_oa_hh_prop,pcd_oa_pers_prop,total_hh,married_couple_dependent_ch,cohabiting_couple_dependent_ch,lone_parent_dependent_ch,other_hh_dependent_ch,all_dependent_ch_hh,prop_hh_dependent_ch,x2021_output_area,total_dep_ch_0_18,asian_dep_ch_0_18,black_dep_ch_0_18,mixed_dep_ch_0_18,white_dep_ch_0_18,other_dep_ch_0_18,non_white_dep_ch_0_18,pcd_dep_ch_hh_count,pcd_dep_ch_hh_count_round,pcd_dep_ch_0_18_total_count,pcd_dep_ch_0_18_white_count,pcd_dep_ch_0_18_non_white_count,postcode_status,lsoa_code,lsoa_name,index_of_multiple_deprivation_rank,index_of_multiple_deprivation_decile,income_rank,income_decile,income_score,employment_rank,employment_decile,employment_score,education_and_skills_rank,education_and_skills_decile,health_and_disability_rank,health_and_disability_decile,crime_rank,crime_decile,barriers_to_housing_services_rank,barriers_to_housing_services_decile,living_environment_rank,living_environment_decile,idaci_rank,idaci_decile,idaci_score,idaopi_rank,idaopi_decile,idaopi_score,geometry,catchment_2024,catchment_2026
BN2 8AD,E00085636,BN2 8AD,BN2  8AD,E01016959,E02003523,537700,0102157,11,28,0.10576923076923077,0.10980392156862745,108,15,5,5,3,28,0.259259259,E00085636,51,0,0,0,51,0,0,2.9615384615384617,3,6,6,0,Live,E01016959,Brighton and Hove 033C E01016959,29148,9,24224,8,0.058,25989,8,0.046,24353,8,26042,8,26215,8,20403,7,27169,9,26413,9,0.055,24306,8,0.075,"c(-0.0472119878825343, 50.8026119948905)",Longhill,Longhill
BN2 8AE,E00085640,BN2 8AE,BN2  8AE,E01016961,E02003523,537774,0102186,32,68,0.2882882882882883,0.2764227642276423,116,14,5,3,1,23,0.198275862,E00085640,47,0,2,4,41,0,6,6.63063063063063,7,13,11,2,Live,E01016961,Brighton and Hove 033E E01016961,21407,7,18114,6,0.089,18209,6,0.072,20567,7,17904,6,23442,8,18112,6,16782,6,17413,6,0.117,17854,6,0.116,"c(-0.0461789878819653, 50.8028609948907)",Longhill,Longhill
BN2 8AF,E00085636,BN2 8AF,BN2  8AF,E01016959,E02003523,537694,0102287,16,49,0.15384615384615385,0.19215686274509805,108,15,5,5,3,28,0.259259259,E00085636,51,0,0,0,51,0,0,4.307692307692308,4,10,10,0,Live,E01016959,Brighton and Hove 033C E01016959,29148,9,24224,8,0.058,25989,8,0.046,24353,8,26042,8,26215,8,20403,7,27169,9,26413,9,0.055,24306,8,0.075,"c(-0.0472759878818425, 50.8037869948913)",Longhill,Longhill
BN2 8AG,E00085635,BN2 8AG,BN2  8AG,E01016959,E02003523,537819,0102472,40,98,0.35398230088495575,0.34265734265734266,110,15,4,2,2,23,0.209090909,E00085635,39,0,1,0,38,0,1,8.141592920353983,8,13,13,0,Live,E01016959,Brighton and Hove 033C E01016959,29148,9,24224,8,0.058,25989,8,0.046,24353,8,26042,8,26215,8,20403,7,27169,9,26413,9,0.055,24306,8,0.075,"c(-0.0454339878801046, 50.8054199948925)",Longhill,Longhill
BN2 8AH,E00085636,BN2 8AH,BN2  8AH,E01016959,E02003523,537745,0102498,46,109,0.4423076923076923,0.42745098039215684,108,15,5,5,3,28,0.259259259,E00085636,51,0,0,0,51,0,0,12.384615384615383,12,22,22,0,Live,E01016959,Brighton and Hove 033C E01016959,29148,9,24224,8,0.058,25989,8,0.046,24353,8,26042,8,26215,8,20403,7,27169,9,26413,9,0.055,24306,8,0.075,"c(-0.0464739878803695, 50.8056719948927)",Longhill,Longhill
BN2 8AJ,E00085636,BN2 8AJ,BN2  8AJ,E01016959,E02003523,537655,0102432,8,17,0.07692307692307693,0.06666666666666667,108,15,5,5,3,28,0.259259259,E00085636,51,0,0,0,51,0,0,2.153846153846154,2,3,3,0,Live,E01016959,Brighton and Hove 033C E01016959,29148,9,24224,8,0.058,25989,8,0.046,24353,8,26042,8,26215,8,20403,7,27169,9,26413,9,0.055,24306,8,0.075,"c(-0.0477749878812441, 50.8050999948922)",Longhill,Longhill
BN2 8AL,E00085611,BN2 8AL,BN2  8AL,E01016958,E02003523,537679,0102739,36,83,0.3185840707964602,0.32677165354330706,114,14,4,8,2,28,0.245614035,E00085611,48,0,0,1,47,0,1,8.920353982300885,9,16,15,0,Live,E01016958,Brighton and Hove 033B E01016958,23457,8,16207,5,0.101,15990,5,0.081,18339,6,24241,8,28882,9,26101,8,30031,10,16060,5,0.13,19610,6,0.103,"c(-0.0473189878793795, 50.8078529948941)",Longhill,Longhill
BN2 8AN,E00085611,BN2 8AN,BN2  8AN,E01016958,E02003523,537716,0102666,22,43,0.19469026548672566,0.16929133858267717,114,14,4,8,2,28,0.245614035,E00085611,48,0,0,1,47,0,1,5.451327433628318,5,8,8,0,Live,E01016958,Brighton and Hove 033B E01016958,23457,8,16207,5,0.101,15990,5,0.081,18339,6,24241,8,28882,9,26101,8,30031,10,16060,5,0.13,19610,6,0.103,"c(-0.0468219878795866, 50.8071879948937)",Longhill,Longhill
BN2 8AP,E00085611,BN2 8AP,BN2  8AP,E01016958,E02003523,537814,0102854,26,62,0.23008849557522124,0.2440944881889764,114,14,4,8,2,28,0.245614035,E00085611,48,0,0,1,47,0,1,6.442477876106195,6,12,11,0,Live,E01016958,Brighton and Hove 033B E01016958,23457,8,16207,5,0.101,15990,5,0.081,18339,6,24241,8,28882,9,26101,8,30031,10,16060,5,0.13,19610,6,0.103,"c(-0.0453609878779807, 50.8088549948949)",Longhill,Longhill
BN2 8AQ,E00085635,BN2 8AQ,BN2  8AQ,E01016959,E02003523,537821,0102717,41,108,0.36283185840707965,0.3776223776223776,110,15,4,2,2,23,0.209090909,E00085635,39,0,1,0,38,0,1,8.345132743362832,8,15,14,0,Live,E01016959,Brighton and Hove 033C E01016959,29148,9,24224,8,0.058,25989,8,0.046,24353,8,26042,8,26215,8,20403,7,27169,9,26413,9,0.055,24306,8,0.075,"c(-0.0453139878787136, 50.807621994894)",Longhill,Longhill
